Ref,Station,Date,Visit_Start,Visit_End,Duration,Individual,Notes,Sunset,Sex
1,2,6/10/2021,19:19:46,19:25:41,0:05:55,9.41E+14,,18:22,F
2,2,6/10/2021,19:28:17,19:28:30,0:00:13,9.41E+14,,18:22,F
3,5,6/10/2021,19:29:27,19:29:35,0:00:08,9.41E+14,,18:22,F
4,3,1/11/2021,NA,NA,#VALUE!,NA,Camera footage,18:41,NA
5,4,1/11/2021,21:42:23,21:45:48,0:03:25,9.41E+14,,18:41,F
6,4,1/11/2021,23:41:50,23:44:45,0:02:55,9.41E+14,,18:41,F
7,4,1/11/2021,0:48:01,0:51:32,0:03:31,NA,Camera footage,18:41,NA
8,1,1/11/2021,19:23:56,19:29:30,0:05:34,9.41E+14,,18:41,F
9,1,1/11/2021,20:59:55,21:00:10,0:00:15,9.41E+14,,18:41,F
10,1,1/11/2021,21:06:54,21:06:56,0:00:02,9.41E+14,,18:41,F
11,1,1/11/2021,22:00:12,NA,#VALUE!,9.41E+14,,18:41,F
12,1,1/11/2021,23:03:10,23:03:12,0:00:02,9.41E+14,,18:41,F
13,2,1/11/2021,19:31:53,19:35:43,0:03:50,9.41E+14,Knocked antenna off,18:41,F
14,5,1/11/2021,19:29:27,19:29:35,0:00:08,9.41E+14,,18:41,F
15,5,1/11/2021,20:12:01,20:12:48,0:00:47,9.41E+14,,18:41,F
16,5,1/11/2021,20:15:26,20:15:29,0:00:03,9.41E+14,,18:41,F
17,5,1/11/2021,20:17:22,20:17:46,0:00:24,9.41E+14,,18:41,F
18,5,1/11/2021,20:18:58,20:19:03,0:00:05,9.41E+14,,18:41,F
19,5,1/11/2021,20:33:43,20:33:58,0:00:15,9.41E+14,,18:41,F
20,3,1/11/2021,20:16:25,20:16:30,0:00:05,NA,Camera footage,18:41,NA
21,1,2/11/2021,19:16:17,19:19:25,0:03:08,9.41E+14,,18:42,F
22,1,2/11/2021,22:02:15,22:02:25,0:00:10,9.41E+14,,18:42,F
23,2,2/11/2021,19:37:23,19:42:17,0:04:54,9.41E+14,,18:42,F
24,2,2/11/2021,23:21:23 PM,NA,#VALUE!,NA,"Camera footage, didn't enter",18:42,NA
25,2,2/11/2021,21:05:23 PM,21:05:30,0:00:07,NA,"Camera footage, didn't enter",18:42,NA
26,5,2/11/2021, 19:16:15,19:21:22,0:05:07,9.41E+14,,18:42,F
27,5,2/11/2021,21:05:54,21:06:14,0:00:20,9.41E+14,,18:42,F
28,2,1/11/2021,21:07:56,NA,#VALUE!,NA,Camera footage,18:41,NA
29,2,1/11/2021,22:05:34,NA,#VALUE!,NA,Camera footage,18:41,NA
30,2,2/11/2021,23:48:01,NA,#VALUE!,NA,"Camera footage, didn't enter",18:42,NA
31,2,2/11/2021,21:03:57,NA,#VALUE!,NA,"Camera footage, didn't enter",18:42,NA
